TRIP DATE,Include,NOTES,CLIENT,PICK UP POINT,DELIVERY AREA,Route,WEIGHT (For Billing),CARGO TYPE,REF#,Trip Report,DM Recorded,Complete Docs?,Outlet Count,"BILLING INVOICE
G MOVERS","BILLING INVOICE
JABEZ",OR #,Total Client,Non-Vat Others,Toll,Parking,Others,Others Reason,Total On Us,Fuel,Parking,Permit,Violation,Violation Reason,Toll RFID,Toll Cash,Others,Others Reason,Total Expenses,Date,Counter,REMARKS,BILLING INVOICE,RATE VAT-EX,GAS STATION,DATE,TIME,LTRS,PER LITER,AMOUNT,FUEL / RATE,SALARIES,TOTAL FUEL,Other Expenses,GI,NET / RATE 45^
45295,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,63,-,-,,-,,,,,,,0,0,0,0,0
45295,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,64,-,-,,-,,,,,,,0,0,0,0,0
45295,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,65,-,-,,-,,,,,,,0,0,0,0,0
45295,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,66,-,-,,-,,,,,,,0,0,0,0,0
45296,1,-,A,GMA,GMA,EW-CAINTA-CAINTA-SL,4T,DRY,5717,45303,45317,YES,4,384,-,,350,,,350,,,0,,,,,,,,,,350,,67,-,384,5300,Petron Masinag,45296,0.579166667,25.69,53.30089529,1369.3,0.258358491,1430,1369.3,0,2500.7,0.471830189
45296,1,-,A,GMA,GMA,SHAW-PP-EME-GH,4T,DRY,5716,45303,45303,YES,4,353,-,,0,,,,,,0,,,,,,,,,,0,,68,-,353,5300,Petron Masinag,45296,0.626388889,36.74,53.29994556,1958.24,0.369479245,1430,1958.24,0,1911.76,0.360709434
45296,,NO TRIP SCHEDULE,A,-,PANGASINAN,DAGUPAN,2T,COMBI,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,69,-,-,12200,-,,,,,,,0,0,0,12200,1
45296,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,70,-,-,,-,,,,,,,0,0,0,0,0
45296,1,-,A,GMA,BAGUIO,SMB-SESSION-CJH,2T,FROZEN,9642,45299,45301,YES,4,353,-,,0,,,,,,1500,1500,,,,,,,,,1500,45296,71,-,353,17700,Petron Masinag,45297,0.688194444,96.06,38.08567562,3658.51,0,2880,5158.51,1500,0,0
45296,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,72,-,-,,Ram Sison Pangasinan,45296,N/A,27.42,54.70459519,1500,0,0,1500,0,-1500,0
45296,1,-,A,GMA,GMA,LS-LS-DEW-MD-UST-UST,2T,FROZEN,9641,45299,45310,YES,5,369,-,,0,,,,,,0,,,,,,,,,,0,,73,-,369,5500,Petron Masinag,45296,0.616666667,64.69,53.30004638,3447.98,0.626905455,1280,3447.98,0,772.02,0.140367273
45296,1,-,A,GMA,GMA,BUT-BGC-LS-LS,4T,DRY,5715,45303,45303,YES,4,353,-,,560,,,560,,,0,,,,,,,,,,560,,74,-,353,5300,Petron Masinag,45296,0.554861111,23.93,53.30004179,1275.47,0.240654717,1430,1275.47,0,2594.53,0.489533962
45296,1,CONVOY,R,STA ROSA,GMA,ARMY NAVY,2T,FROZEN,2805531,45297,45297,YES,,-,9305,,0,,,,,,0,,,,,,,,,,0,,75,-,9305,4524.17,Petron Masinag,45296,0.454166667,39.33,53.30002543,2096.29,0.463353499,1330,2096.29,0,1097.88,0.242669926
45296,,CONVOY,R,STA ROSA,GMA,ARMY NAVY,2T,FROZEN,2805531,45297,45297,YES,,-,9305,,0,,,,,,0,,,,,,,,,,0,,76,-,9305,4524.17,-,,,,,,,1330,,0,3194.17,0.706023425
45296,1,-,T,STA ROSA,GMA,Food Details Wack Wack - Robinsons Galleria - POL's Mom's Place - WNR Maybunga - SM Taytay,2T,FROZEN,Food Details Wack Wack - Robinsons Galleria - POL's Mom's Place - WNR Maybunga - SM Taytay,45301,-,-,,357,-,,724,,724,,,,0,,,,,,,,,,724,,77,Container - naubusan ng fuel,357,6095,Petron Masinag,45296,0.245138889,58.73,14.52068789,852.8,0.139917966,1330,3130.31,0,3912.2,0.641870386
45296,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,78,-,-,,Petron Masinag,45296,0.757638889,42.73,53.3000234,2277.51,0,0,2277.51,0,-2277.51,0
